In bed at,Until,Duration,Asleep,Time awake in bed,Fell asleep in,Quality sleep,Deep sleep,Heartrate,Tags,Notes
2020-05-25 21:46:00,2020-05-26 05:19:00,7:33,6:46,47,--,4:35,--,67,--,--
2020-05-27 21:30:00,2020-05-28 05:00:00,7:30,7:11,19,--,4:02,--,63,--,--
2020-05-28 23:43:00,2020-05-29 04:43:00,5:00,4:47,13,--,3:20,15,64,--,--
2020-05-29 20:00:00,2020-05-30 06:28:00,11:17,9:50,1:27,--,7:08,2:19,67,--,--
2020-05-30 21:12:00,2020-05-31 02:00:00,4:48,3:38,1:10,--,2:33,--,59,--,--
2020-05-31 20:46:00,2020-06-01 04:57:00,8:11,8:07,4,--,5:47,15,60,--,--
2020-06-01 21:00:00,2020-06-02 05:00:00,9:54,9:54,0,--,6:11,45,65,--,--
2020-06-02 22:03:00,2020-06-03 04:00:00,5:57,5:57,0,--,3:52,--,71,--,--
2020-06-03 21:30:00,2020-06-04 06:30:00,9:00,8:30,30,--,5:20,1:15,59,--,--
2020-06-04 23:00:00,2020-06-05 05:01:00,6:01,5:54,7,--,4:06,--,70,--,--
2020-06-05 21:48:00,2020-06-06 06:26:00,8:38,8:38,0,--,6:40,1:00,67,--,--
2020-06-06 21:30:00,2020-06-07 08:18:00,10:48,9:14,1:34,--,6:38,2:18,57,--,--
2020-06-08 21:30:00,2020-06-09 05:10:00,7:40,7:35,5,--,5:28,1:18,57,--,--
2020-06-09 20:00:00,2020-06-10 06:30:00,10:30,10:04,26,--,6:32,1:30,63,--,--
2020-06-10 21:58:00,2020-06-11 05:01:00,7:03,7:03,0,--,5:12,30,70,--,--
2020-06-12 00:47:00,2020-06-12 06:45:00,5:58,5:58,0,--,3:40,--,79,--,--
2020-06-12 19:45:00,2020-06-13 09:27:00,13:42,12:12,1:30,--,9:21,3:03,60,--,--
2019-12-29 22:16:00,2019-12-30 05:03:00,6:47,6:47,0,--,4:52,1:00,67,--,--
2019-12-30 21:00:00,2019-12-31 05:09:00,8:09,7:35,34,--,5:52,2:36,71,--,--
2019-12-31 22:45:00,2020-01-01 05:00:00,6:15,5:56,19,--,4:27,1:14,60,--,--
2020-01-01 21:00:00,2020-01-02 05:00:00,8:00,8:00,0,--,5:48,1:15,57,--,--
2020-01-02 20:53:00,2020-01-03 07:04:00,10:11,9:57,14,--,7:42,2:21,64,--,--
2020-01-03 21:41:00,2020-01-04 04:03:00,8:44,7:31,1:13,--,5:32,1:57,61,--,--
2020-01-04 20:25:41,2020-01-05 05:18:00,8:52,8:16,36,4,6:09,2:45,59,--,--
2020-01-05 21:15:00,2020-01-06 05:20:00,8:05,8:02,3,--,5:51,1:48,62,--,--
2020-01-06 21:42:00,2020-01-07 05:30:00,7:48,7:21,27,--,5:46,2:53,65,--,--
2020-01-07 22:15:00,2020-01-08 05:48:00,7:33,6:42,51,--,5:19,2:24,64,--,--
2020-01-08 22:30:00,2020-01-09 05:12:00,6:42,6:14,28,--,4:11,2:04,68,--,--
2020-01-09 21:42:00,2020-01-10 04:54:00,7:12,7:03,9,--,5:28,2:21,71,--,--
2020-01-10 21:27:58,2020-01-11 04:35:00,8:45,7:42,1:03,18,5:03,1:35,57,--,--
2020-01-12 20:41:00,2020-01-13 04:26:00,7:45,7:40,5,--,5:32,1:35,60,--,--
2020-01-13 19:52:00,2020-01-14 04:36:00,8:44,8:43,1,--,7:01,3:26,65,--,--
2020-01-14 20:46:00,2020-01-15 05:37:00,8:51,8:31,20,--,6:12,2:19,66,--,--
2020-01-15 20:32:00,2020-01-16 06:03:00,9:31,9:16,15,--,5:59,1:21,68,--,--
2020-01-16 21:00:00,2020-01-17 05:00:00,8:00,7:43,17,--,5:34,1:44,62,--,--
2020-01-18 04:00:00,2020-01-18 06:47:00,3:40,2:20,1:20,--,1:27,17,56,--,--
2020-01-18 19:30:00,2020-01-19 05:19:00,10:23,10:19,4,--,6:16,1:16,59,--,--
2020-01-19 19:15:00,2020-01-20 04:40:00,9:25,8:50,35,--,5:48,1:17,61,--,--
2020-01-20 19:46:00,2020-01-21 04:49:00,9:03,8:40,23,--,5:51,1:31,64,--,--
2020-01-21 19:45:00,2020-01-22 04:17:00,8:32,7:58,34,--,5:15,1:01,77,--,--
2020-01-22 20:32:00,2020-01-23 04:24:00,7:52,7:09,43,--,4:12,1:51,70,--,--
2020-01-23 20:30:00,2020-01-24 06:05:00,9:35,9:25,10,--,6:58,3:03,72,--,--
2020-01-24 20:11:00,2020-01-25 11:36:00,15:25,10:58,4:27,--,7:13,2:05,61,--,--
2020-01-25 21:00:00,2020-01-26 05:37:00,8:37,8:22,15,--,5:22,1:00,62,--,--
2020-01-26 19:01:00,2020-01-27 05:00:00,9:59,8:45,1:14,--,5:57,1:32,64,--,--
2020-01-27 20:45:00,2020-01-28 07:16:00,10:31,9:09,1:22,--,6:42,2:32,62,--,--
2020-01-28 21:00:00,2020-01-29 05:56:00,8:56,8:10,46,--,6:01,1:29,73,--,--
2020-01-30 22:08:00,2020-01-31 04:35:00,6:27,6:27,0,--,4:50,1:48,70,--,--
2020-01-31 22:15:00,2020-02-01 05:00:00,7:55,7:41,14,--,4:57,1:30,64,--,--
2020-02-01 22:37:00,2020-02-02 04:45:00,6:08,6:08,0,--,4:21,--,66,--,--
2020-02-02 19:41:00,2020-02-03 07:31:00,11:50,8:43,3:07,--,5:16,1:14,65,--,--
2020-02-04 22:15:00,2020-02-05 03:43:00,5:28,5:22,6,--,3:53,1:16,71,--,--
2020-02-05 20:45:00,2020-02-06 02:30:00,5:45,4:57,48,--,3:40,1:02,68,--,--
2020-02-06 21:57:00,2020-02-07 05:31:00,7:34,7:31,3,--,5:54,2:51,61,--,--
2020-02-08 01:12:00,2020-02-08 06:44:00,6:00,5:47,13,--,3:42,45,69,--,--
